Ring;Nimi;Aeg;Sektor1;Sektor2;Sektor3;Viga
1;Karl;169.09;53.902;40.554;74.634;True
2;Karl;72.643;25.101;23.237;24.305;False
3;Karl;73.736;23.223;24.646;25.867;False
4;Karl;75.416;23.908;24.97;26.538;False
5;Karl;72.918;23.118;24.736;25.064;False
6;Karl;74.614;25.784;24.378;24.452;False
7;Karl;74.965;24.579;24.018;26.368;False
8;Karl;70.146;23.371;23.139;23.636;False
9;Karl;72.88499999999999;25.559;23.143;24.183;False
10;Karl;75.21700000000001;25.446;26.35;23.421;False
1;Joosep;70.66999999999999;24.403;23.245;23.022;False
2;Joosep;71.972;23.851;23.083;25.038;False
3;Joosep;74.332;26.124;24.491;23.717;False
4;Joosep;74.17699999999999;23.543;25.244;25.39;False
5;Joosep;74.94200000000001;24.684;24.429;25.829;False
6;Joosep;74.34100000000001;24.848;26.063;23.43;False
7;Joosep;77.65400000000001;25.73;26.042;25.882;False
8;Joosep;75.146;26.111;24.068;24.967;False
9;Joosep;73.289;25.633;24.271;23.385;False
10;Joosep;72.59299999999999;24.409;24.144;24.04;False
1;Romet;191.92399999999998;46.538;54.691;90.695;True
2;Romet;74.096;25.749;25.305;23.042;False
3;Romet;72.402;23.958;24.983;23.461;False
4;Romet;74.474;23.227;25.807;25.44;False
5;Romet;71.999;23.119;24.557;24.323;False
6;Romet;72.675;24.086;23.921;24.668;False
7;Romet;73.811;24.51;23.228;26.073;False
8;Romet;78.581;25.999;26.014;26.568;False
9;Romet;74.63;23.187;25.026;26.417;False
10;Romet;75.435;26.321;23.358;25.756;False
1;Marius;72.506;24.0;24.802;23.704;False
2;Marius;73.134;23.0;26.626;23.508;False
3;Marius;75.745;24.486;26.348;24.911;False
4;Marius;75.76599999999999;24.589;25.668;25.509;False
5;Marius;78.498;26.325;25.498;26.675;False
6;Marius;75.437;26.741;23.506;25.19;False
7;Marius;73.005;23.129;23.206;26.67;False
8;Marius;73.82;24.964;23.789;25.067;False
9;Marius;72.726;23.272;26.25;23.204;False
10;Marius;73.255;24.775;23.218;25.262;False
1;Hendrik;185.269;71.587;53.781;59.901;True
2;Hendrik;74.827;25.178;25.606;24.043;False
3;Hendrik;76.289;26.783;23.301;26.205;False
4;Hendrik;72.902;23.587;24.826999999999998;24.488;False
5;Hendrik;75.25999999999999;25.782;26.039;23.439;False
6;Hendrik;74.187;26.899;23.153;24.135;False
7;Hendrik;146.757;69.882;36.837;40.038;True
8;Hendrik;74.537;25.224;24.8;24.513;False
9;Hendrik;77.205;26.121;24.861;26.223;False
10;Hendrik;73.583;24.369;23.563;25.651;False
